,GitHub Username,hw0
0,0taj,100.0
1,50L4M3,100.0
2,559Max,0.0
3,AaronFritz01,100.0
4,Abhilashsaravana,100.0
5,AdenKoperczak,100.0
6,AditiAgrawal17,100.0
7,AjSonani,-0.0
8,AlexTheBestCat,100.0
9,Alishah634,100.0
10,Annie1103,100.0
11,AviatorNic28,100.0
12,Benivator,100.0
13,BoWu2021,100.0
14,BobWaffle314,-0.0
15,BrodyCooke,100.0
16,Brohan00,100.0
17,CJB256,100.0
18,CJiang76,100.0
19,CameronMccutcheon02,100.0
20,CarlosACJ55,100.0
21,Chise7,-0.0
22,CiscoSullivan,75.0
23,ClaireXP,100.0
24,ClarkLiao20,100.0
25,DaerkZeus,75.0
26,Daihun,0.0
27,DrRadical,100.0
28,EdwinTseng,100.0
29,EmilyChen23,100.0
30,EngineKid2001,100.0
31,FaaizMemon,0.0
32,FaaizMemonPurdue,0.0
33,FelipeDoesHisThing,75.0
34,Fran3098,0.0
35,FrancisC2022,0.0
36,Frucks,15.0
37,GDavies411,100.0
38,GeneralOy,100.0
39,GraysonNocera,100.0
40,Hardtanker,100.0
41,Henry3035,0.0
42,IanKarlmann,-0.0
43,Ieckroth,0.0
44,Ismiley,100.0
45,JDCambridge,100.0
46,JNicho206,100.0
47,Jackk81524,85.0
48,JayAlt497,100.0
49,Jingyi6Zhang,41.67
50,JonHuang1,100.0
51,Jones3ones,100.0
52,Josh9281,75.0
53,Jun0610,100.0
54,KabirBatra06,100.0
55,KabirSheth,100.0
56,KarthikSNimmala,-0.0
57,Kaushikk362,0.0
58,Ken10086,100.0
59,KennyStier,100.0
60,LennyLess,100.0
61,LewisCHoke,100.0
62,LiChungYang,100.0
63,Lijunzhu944,100.0
64,LilCybe,100.0
65,LinGan1213,100.0
66,Liuzili777,0.0
67,LordTyrode,0.0
68,Mali920,100.0
69,Malvhack,100.0
70,MatthewEMcCormick,100.0
71,MatthewPatrohay,0.0
72,MaxChen2024,100.0
73,Morri448,100.0
74,MrDoggus,100.0
75,Nahush28,100.0
76,NigelHorak,100.0
77,OGblmk,75.0
78,Overjellyfish,100.0
79,OxyMagnesium,100.0
80,PC192,0.0
81,Pebblebro,100.0
82,PeilinYu,100.0
83,Peteriq,100.0
84,Pisces372,100.0
85,PuyeChen,100.0
86,Ranasinghe843,100.0
87,ReeceJensen,75.0
88,RiamuYumemi,100.0
89,RomanczuG,100.0
90,Ruxin720,75.0
91,RyanDavitt,100.0
92,Scrubuli,-0.0
93,SeanoChang,100.0
94,Sensei82013,100.0
95,ShreChinno,100.0
96,Shrubwhack,100.0
97,ShuchaySubramanian,100.0
98,SongnianLi,0.0
99,SpacemanJHO,-0.0
100,Stas818,-0.0
101,Streetcred1e,100.0
102,SudhanvaD,100.0
103,Szagha02,100.0
104,TMoneyLirette,100.0
105,TehkCode,100.0
106,TejasiR,100.0
107,Tequila0322,100.0
108,TheDroppedCroissant,100.0
109,TheGoanSalkar,-0.0
110,Tina925,100.0
111,Torin1914,100.0
112,VanshK123,100.0
113,Vnednek,100.0
114,Vurs20,100.0
115,WDobert,100.0
116,WillStonebridge,100.0
117,XingpeiZhang,0.0
118,YunmeiHuanghi,0.0
119,Z1haoYe,100.0
120,ZachBeacon,100.0
121,aakashsiv,95.0
122,aaradhyajajoo,-0.0
123,abbyhaluskaa,-0.0
124,acastellani1,100.0
125,ach1ntya,100.0
126,acrobbin,0.0
127,adrcal5,0.0
128,adrianpersaud,100.0
129,aedenbur,75.0
130,afinnegan001,100.0
131,aforester841,100.0
132,aikyachirra,80.0
133,akhilesh2604,100.0
134,akrutche,0.0
135,alecparo,0.0
136,aleeau,100.0
137,alexc0888,100.0
138,alexksiu,0.0
139,aliadnaan,100.0
140,altayatik,-0.0
141,ananyaagas,-0.0
142,anderslt9,100.0
143,anishsudini,100.0
144,ankitrustagi3,-0.0
145,ansonl1,100.0
146,arorasoham9,0.0
147,aroshy,-0.0
148,arpitarattan,100.0
149,asavg,0.0
150,asimmes,100.0
151,b4yuan,100.0
152,bbondi,100.0
153,bhatnag8,100.0
154,bhatt30,0.0
155,bjmccoy60,100.0
156,brewe116,-0.0
157,bvanzant,90.0
158,carolinecgilbert,100.0
159,carrtj,100.0
160,cdetwei,100.0
161,cgcolquitt,0.0
162,chandleg,0.0
163,chang635,100.0
164,chefapp,0.0
165,cheng452,100.0
166,chlouly,75.0
167,chong50,8.33
168,christine102,100.0
169,clgraves,75.0
170,cmarines420,0.0
171,codery12321,0.0
172,cole186,-0.0
173,collinsell,-0.0
174,connorjbarry,75.0
175,connorjt222,100.0
176,connorlee802,-0.0
177,cswitze,100.0
178,cthode0615,100.0
179,danieldoh,100.0
180,dannygemignani,-0.0
181,dkholode,100.0
182,dlender,100.0
183,dlgilligan,100.0
184,dokugaron,100.0
185,doyle109,-0.0
186,du233,100.0
187,dulaninw,100.0
188,dzepeda20,75.0
189,earroyof,100.0
190,eavey,75.0
191,ecpeders,-0.0
192,egodley,100.0
193,ekzhang546,0.0
194,elkins15,100.0
195,ethanlu12,100.0
196,faithnfury,0.0
197,fhoham,100.0
198,foley27,0.0
199,fqutob,95.0
200,frolloaaron,100.0
201,gabefoulk,0.0
202,gc1911060,100.0
203,giangnguyen1899,0.0
204,gjgill,-0.0
205,glogas,100.0
206,gmwhit,100.0
207,gracemarieyeh,75.0
208,gu243,100.0
209,gvinod07,0.0
210,hannaertel,100.0
211,haoyuding,-0.0
212,harri822,95.0
213,hasansultan92,100.0
214,hello2737,100.0
215,hew1g1g,100.0
216,hgjovik,100.0
217,hilleryc,100.0
218,holman10,0.0
219,hunte164,100.0
220,hurst48,100.0
221,iamverytan,100.0
222,iangruver,100.0
223,ibenschi,100.0
224,icrawfor,-0.0
225,igelmanPURDUE,100.0
226,igronhol,0.0
227,ishaanbajpai24,100.0
228,ishaanrath2002,100.0
229,ishantrip,100.0
230,jacobalmendralo,0.0
231,jacobscarroll,100.0
232,jakobslason,100.0
233,jamesdoyle25,100.0
234,jarmstrong413,100.0
235,jennagillette,41.67
236,jennychen1030,-0.0
237,jeon52,100.0
238,jfaberlle,100.0
239,jffshao,100.0
240,jiang786,100.0
241,jinwk00,100.0
242,jlunamcc,100.0
243,jogarces127,100.0
244,john117morton,100.0
245,john2548,-0.0
246,john2766,100.0
247,jonathandow,100.0
248,josephsmcs,100.0
249,joshjhom,100.0
250,joyxqwang,0.0
251,jpcollins1,100.0
252,jstavrakos,100.0
253,jtrowe08,100.0
254,juanpardo3,0.0
255,jwai01,0.0
256,kap0503,100.0
257,kaushikcodes,100.0
258,kchristiana24,100.0
259,kprather3,100.0
260,kreimera02,0.0
261,kriswang8919,100.0
262,krobinson395,80.0
263,kylehutchinson89,-0.0
264,kyvaz,100.0
265,lan40,100.0
266,lbolding,100.0
267,lee2998p,100.0
268,lee3753,100.0
269,lee4106,41.67
270,li3878,0.0
271,lmassey13,65.0
272,lotszfung,100.0
273,lpremanand,-0.0
274,lrhockensmith,100.0
275,lucylucy666,100.0
276,luyunghsiang,0.0
277,mahamgodil,100.0
278,mahlers1,100.0
279,manasirajan,100.0
280,marcelnerd,100.0
281,markmelv,100.0
282,mbatler,100.0
283,mcurry51,100.0
284,mechtina,75.0
285,mendez71,0.0
286,mfarrar216,100.0
287,mferconio,100.0
288,milindkulkarni,0.0
289,mjyeung,-0.0
290,mlpressler,100.0
291,mpoojary09,0.0
292,nanantha2002,-0.0
293,nathanmehringer,100.0
294,nazarovelbek,0.0
295,nbrinkm,100.0
296,ndamato17,100.0
297,nfloress,100.0
298,nfroonin,100.0
299,nharpen,100.0
300,ni102,100.0
301,nicholas3134,100.0
302,nlashka,0.0
303,nortthub,0.0
304,nslaats,100.0
305,nsuper72,0.0
306,oabdall,0.0
307,oh237,0.0
308,paingp,100.0
309,park1205,100.0
310,parkermetzger,100.0
311,parrelljohn,-0.0
312,parthivreddy,100.0
313,paulsong920,75.0
314,paulteter,100.0
315,pbaysing,0.0
316,pchintar,-0.0
317,pigcounter,95.0
318,pjaggi,100.0
319,pmclin2,100.0
320,princeniu,100.0
321,priyankapereira1,100.0
322,psangam0317,0.0
323,psankar193,100.0
324,ptradiver,0.0
325,qian147,0.0
326,raghavcast,100.0
327,reed369,100.0
328,rhense,100.0
329,richa547,-0.0
330,rjoshi2002,100.0
331,rlalaegus,100.0
332,rockets02,100.0
333,rohitvallab,0.0
334,ronitnallagatla,100.0
335,roshsundar,100.0
336,rparikh10,0.0
337,rsashti,100.0
338,ryadov,100.0
339,ryanamarchand18,75.0
340,sahin01,100.0
341,salbert7030,100.0
342,sambkhan,100.0
343,samdreu,100.0
344,sardarcastic,-0.0
345,sbright96,100.0
346,schul137,100.0
347,sdeckhar,100.0
348,sdgj3468,-0.0
349,sdgreenl,100.0
350,sdk111213,100.0
351,shivans,100.0
352,sidnash,-0.0
353,sinya3558,100.0
354,sknapdragon,100.0
355,smfetter,91.67
356,smit3568,-0.0
357,snwprk,100.0
358,sophialee12,-0.0
359,soumitra16,100.0
360,spaul13,0.0
361,srinath99,100.0
362,stefankuhn7,100.0
363,sudar5,0.0
364,sultanrosh,100.0
365,sun976,-0.0
366,swgries,100.0
367,tadoyle2024,100.0
368,taeugenio,100.0
369,tanvikalaskar,-0.0
370,tbatides,100.0
371,tema014,0.0
372,terencemurphy11,100.0
373,tomatobagel123,100.0
374,tran187,100.0
375,tshreegupta,100.0
376,ttanases,0.0
377,tuntub4,100.0
378,varunGannavarapu,100.0
379,varunravi1,100.0
380,vfarrel,100.0
381,vraghup,0.0
382,vsrigiri,100.0
383,waij01,41.67
384,williamyu45,100.0
385,wongjt,100.0
386,xx005fs,0.0
387,ycvision,100.0
388,yili2001,100.0
389,zapurcel,75.0
390,zbarker5,100.0
391,zhan3446,100.0
392,zimmeras,-0.0
393,zmfieldi,100.0
394,zmid26,100.0
